,Season,Date,Player,Team,Game,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,ORB,DRB,RB,AST,STL,BLK,TOV,PF,PTS
20,1,2007-10-23,2511,16,1,23.48,3,8,2,6,0,0,0,2,2,0,0,0,0,2,8
21,1,2007-10-23,1229,16,1,8.61667,2,4,0,0,0,1,0,1,1,1,1,0,0,2,4
22,1,2007-10-23,1833,39,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,2007-10-23,2217,16,1,37.4,9,23,4,12,5,8,0,2,2,5,4,0,5,3,27
24,1,2007-10-23,2802,39,0,36.8167,9,21,1,4,4,5,2,8,10,2,1,2,5,3,23
25,1,2007-10-23,1221,39,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2007-10-23,3094,19,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,2007-10-23,2920,19,0,19.2333,3,7,2,4,0,0,3,1,4,3,0,0,1,3,8
28,1,2007-10-23,774,19,0,29.0,2,14,1,8,2,2,0,4,4,7,0,0,3,1,7
29,1,2007-10-23,1901,19,0,26.5167,5,10,1,2,0,0,0,8,8,1,0,1,1,0,11
30,1,2007-10-23,1563,19,0,24.6167,4,12,1,3,1,2,2,3,5,0,4,0,0,1,10
31,1,2007-10-23,4194,19,0,0.831667,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2
32,1,2007-10-23,703,19,0,25.0017,2,4,2,4,1,2,0,3,3,3,0,0,2,2,7
33,1,2007-10-23,280,19,0,1.45,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34,1,2007-10-23,4747,19,0,28.3833,5,13,1,3,1,2,3,2,5,2,0,0,2,4,12
35,1,2007-10-23,1025,19,0,29.95,4,7,0,1,1,1,0,4,4,2,0,4,3,1,9
36,1,2007-10-23,3027,19,0,4.13333,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
37,1,2007-10-23,1969,19,0,28.9333,9,17,1,5,4,5,2,7,9,3,1,0,1,2,23
38,1,2007-10-23,1308,39,0,22.4333,2,5,0,1,0,0,0,1,1,3,0,0,0,3,4
39,1,2007-10-23,3450,39,0,22.9067,3,8,0,4,0,0,0,6,6,1,0,0,3,5,6
40,1,2007-10-23,1307,39,0,42.735,7,14,0,0,5,10,3,12,15,8,4,2,3,5,19
41,1,2007-10-23,3112,39,0,29.7667,7,17,2,8,0,0,0,2,2,1,0,0,0,1,16
42,1,2007-10-23,1399,39,0,11.1833,1,1,0,0,3,4,0,3,3,1,0,0,0,1,5
43,1,2007-10-23,719,39,0,12.715,0,4,0,2,1,2,0,1,1,0,0,0,0,0,1
44,1,2007-10-23,2080,19,0,20.5,7,12,2,7,0,0,2,8,10,0,2,0,1,5,16
45,1,2007-10-23,653,39,0,24.3333,2,7,0,0,1,2,0,3,3,2,1,0,3,1,5
46,1,2007-10-24,142,43,9,36.4833,8,11,0,0,2,2,1,9,10,6,1,1,0,2,18
47,1,2007-10-24,2358,11,9,19.115,1,3,1,3,0,0,0,1,1,1,0,0,0,1,3
48,1,2007-10-24,4684,11,9,3.99,1,3,1,3,0,0,0,0,0,0,0,0,0,0,3
49,1,2007-10-24,2908,11,9,16.75,3,3,2,2,0,0,0,2,2,0,0,0,1,1,8
50,1,2007-10-24,1382,11,9,30.5067,5,9,0,0,1,1,4,8,12,1,1,1,0,5,11
51,1,2007-10-24,3317,11,9,20.6517,3,8,1,2,2,3,0,3,3,10,1,0,1,1,9
52,1,2007-10-24,4617,43,9,0.191667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,2007-10-24,130,11,9,17.4933,6,8,0,1,4,6,2,3,5,0,1,1,0,1,16
54,1,2007-10-24,2245,11,9,30.3367,4,7,2,5,2,2,0,3,3,1,0,3,0,2,12
55,1,2007-10-24,724,43,9,7.51333,1,2,0,1,0,0,0,0,0,1,0,0,0,2,2
56,1,2007-10-24,451,11,9,27.9033,6,19,1,4,0,0,1,1,2,5,3,0,1,2,13
57,1,2007-10-24,2333,11,9,31.7833,5,16,0,5,0,2,2,6,8,4,0,0,4,3,10
58,1,2007-10-24,674,11,9,0.913333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,2007-10-24,3783,37,10,0.966667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,2007-10-24,2150,11,9,34.3567,4,10,2,7,5,6,1,1,2,5,1,0,2,0,15
61,1,2007-10-24,3674,37,10,23.5667,6,12,1,5,1,2,0,4,4,6,0,0,1,1,14
62,1,2007-10-24,1122,37,10,25.7833,6,11,3,6,1,2,0,5,5,5,0,0,3,3,16
63,1,2007-10-24,1716,37,10,3.85667,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2
64,1,2007-10-24,2255,37,10,20.3667,4,8,0,0,0,0,3,5,8,1,0,4,1,3,8
65,1,2007-10-24,954,37,10,27.1,7,9,3,3,2,2,0,6,6,0,0,0,3,0,19
66,1,2007-10-24,1305,37,10,28.2833,5,7,1,2,0,0,0,6,6,3,1,2,2,3,11
67,1,2007-10-24,2208,37,10,3.96667,0,0,0,0,2,2,1,2,3,3,0,0,0,2,2
68,1,2007-10-24,3700,37,10,21.4833,0,5,0,1,0,0,0,1,1,5,0,0,3,4,0
69,1,2007-10-24,644,37,10,3.96667,1,2,1,2,0,0,0,0,0,0,0,0,1,1,3
70,1,2007-10-24,981,37,10,24.3933,5,9,1,5,1,2,0,1,1,1,1,0,0,2,12
71,1,2007-10-24,2794,43,9,11.5167,0,0,0,0,0,0,0,5,5,0,1,0,0,4,0
72,1,2007-10-24,3357,11,9,6.2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
73,1,2007-10-24,3030,43,9,37.0133,7,12,5,9,2,2,0,8,8,7,1,0,0,2,21
74,1,2007-10-24,1129,41,8,31.8167,2,8,1,4,0,0,1,6,7,3,2,2,2,1,5
75,1,2007-10-24,1194,43,9,23.75,5,12,3,4,4,4,1,0,1,1,2,0,3,3,17
76,1,2007-10-24,2867,36,7,21.8667,0,4,0,0,1,1,0,2,2,4,1,0,2,3,1
77,1,2007-10-24,1057,41,8,20.8,4,11,2,4,0,0,2,0,2,1,1,0,0,2,10
78,1,2007-10-24,4400,41,8,38.65,15,29,7,13,4,5,1,1,2,4,2,0,3,0,41
79,1,2007-10-24,1356,41,8,33.57,7,16,4,8,0,0,0,4,4,2,1,2,0,1,18
80,1,2007-10-24,4447,41,8,25.8517,2,7,1,6,0,2,1,8,9,1,0,4,1,2,5
81,1,2007-10-24,2618,37,10,28.55,7,11,0,0,0,2,6,9,15,2,0,0,3,3,14
82,1,2007-10-24,909,41,8,21.0967,1,1,1,1,2,2,0,3,3,1,1,0,0,3,5
83,1,2007-10-24,4217,41,8,14.4983,0,1,0,1,1,2,0,0,0,1,0,0,1,2,1
84,1,2007-10-24,1697,41,8,12.2617,3,5,0,1,3,5,1,4,5,0,1,0,1,3,9
85,1,2007-10-24,4698,2,8,38.005,4,9,2,6,0,0,0,3,3,6,1,0,4,3,10
86,1,2007-10-24,3460,2,8,0.113333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,2007-10-24,3895,2,8,32.7667,7,14,3,6,2,2,1,8,9,4,2,1,2,3,19
88,1,2007-10-24,3183,43,9,28.3717,7,11,3,4,1,2,0,2,2,3,0,1,3,1,18
89,1,2007-10-24,2022,2,8,12.0117,1,3,0,0,2,2,2,4,6,0,0,1,2,1,4
90,1,2007-10-24,1783,41,8,21.66,3,6,0,0,4,6,3,3,6,1,0,1,1,3,10
91,1,2007-10-24,4191,2,8,21.45,4,7,2,5,4,4,0,3,3,1,1,0,2,3,14
92,1,2007-10-24,610,2,8,28.9883,6,9,1,3,0,0,1,8,9,2,0,0,0,6,13
93,1,2007-10-24,3560,2,8,4.95,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3
94,1,2007-10-24,1456,2,8,22.0783,3,6,2,4,0,0,1,1,2,1,1,0,1,0,8
95,1,2007-10-24,2228,2,8,34.77,9,21,0,3,7,12,3,15,18,8,0,1,8,5,25
96,1,2007-10-24,645,2,8,11.3333,0,2,0,1,0,0,1,1,2,1,0,0,0,0,0
97,1,2007-10-24,3962,2,8,33.5333,7,13,3,5,0,0,2,2,4,3,0,1,2,4,17
98,1,2007-10-24,174,43,9,24.015,1,4,0,1,0,0,3,4,7,3,0,0,1,0,2
99,1,2007-10-24,3714,43,9,33.5667,3,10,2,5,0,0,0,6,6,7,0,0,1,4,8
100,1,2007-10-24,2302,43,9,33.4417,12,19,6,10,5,6,0,4,4,7,0,0,3,4,35
101,1,2007-10-24,3005,43,9,4.13667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
102,1,2007-10-24,2470,41,8,19.795,4,8,0,0,0,0,0,3,3,7,0,0,2,2,8
103,1,2007-10-24,4271,37,10,27.7167,5,7,0,1,0,1,3,5,8,3,0,1,3,2,10
104,1,2007-10-24,3884,21,11,1.58333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,2007-10-24,4525,25,10,22.0667,2,9,0,3,5,7,0,2,2,1,0,0,0,0,9
106,1,2007-10-24,4437,32,11,29.35,7,14,2,9,5,5,0,3,3,1,0,0,0,0,21
107,1,2007-10-24,2210,32,11,34.7167,6,15,3,8,3,4,2,7,9,10,3,1,4,2,18
108,1,2007-10-24,3593,26,12,20.7183,4,8,1,3,0,1,1,1,2,0,1,0,3,4,9
109,1,2007-10-24,36,35,12,20.5667,6,11,2,3,1,2,1,2,3,4,0,0,2,2,15
110,1,2007-10-24,4101,35,12,16.3667,5,5,0,0,2,4,5,5,10,3,0,0,0,1,12
111,1,2007-10-24,1634,35,12,27.2,5,9,0,0,6,7,3,8,11,3,1,1,1,2,16
112,1,2007-10-24,2790,35,12,23.6333,4,16,1,5,1,3,0,0,0,0,2,1,2,2,10
113,1,2007-10-24,4718,35,12,19.2333,6,14,3,7,0,1,0,3,3,1,3,0,3,5,15
114,1,2007-10-24,4092,35,12,15.5,1,2,1,1,0,0,0,0,0,0,0,1,1,4,3
115,1,2007-10-24,2923,35,12,33.6333,2,7,1,2,0,0,0,5,5,1,3,1,1,1,5
116,1,2007-10-24,2287,35,12,27.4333,0,3,0,3,2,2,0,4,4,4,1,0,2,4,2
117,1,2007-10-24,4034,35,12,1.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
118,1,2007-10-24,1488,32,11,27.0,3,10,1,5,2,4,1,3,4,0,0,1,2,4,9
119,1,2007-10-24,743,35,12,28.85,10,22,3,9,8,8,1,5,6,5,2,0,0,2,31
120,1,2007-10-24,4170,26,12,32.3167,7,15,3,7,4,4,0,6,6,6,0,0,6,4,21
121,1,2007-10-24,3283,26,12,21.4417,3,6,0,2,1,2,2,2,4,2,0,1,3,4,7
122,1,2007-10-24,2919,26,12,13.7,3,6,0,2,2,2,0,5,5,1,1,0,2,0,8
123,1,2007-10-24,341,26,12,4.58333,0,1,0,0,0,0,1,2,3,0,0,0,0,0,0
124,1,2007-10-24,1437,26,12,23.3133,1,4,0,0,0,0,0,4,4,4,2,0,2,1,2
125,1,2007-10-24,2383,26,12,4.28333,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0
126,1,2007-10-24,959,26,12,9.35833,2,2,0,0,3,3,0,0,0,0,0,0,0,2,7
127,1,2007-10-24,2076,26,12,33.1333,5,14,1,5,3,4,0,6,6,5,0,0,4,4,14
128,1,2007-10-24,4155,26,12,30.27,6,12,2,6,0,0,2,4,6,0,2,1,2,3,14
129,1,2007-10-24,4263,26,12,23.965,4,9,2,6,2,2,0,2,2,0,0,0,2,5,12
130,1,2007-10-24,1090,26,12,14.6,3,8,0,2,0,0,0,3,3,0,0,0,0,2,6
131,1,2007-10-24,3954,26,12,8.31667,3,4,1,2,0,0,1,2,3,0,1,1,0,1,7
132,1,2007-10-24,3236,35,12,26.2833,5,9,1,3,4,4,0,4,4,0,0,2,3,0,15
133,1,2007-10-24,2054,25,10,22.55,3,9,0,5,0,0,0,1,1,0,1,1,0,3,6
134,1,2007-10-24,4665,32,11,26.1833,4,9,0,0,0,0,3,5,8,1,0,1,1,3,8
135,1,2007-10-24,4569,32,11,34.3167,6,11,4,7,3,4,0,2,2,1,1,1,0,2,19
136,1,2007-10-24,2093,25,10,19.2433,2,6,0,0,1,2,0,2,2,1,0,0,2,2,5
137,1,2007-10-24,4710,25,10,6.28333,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
138,1,2007-10-24,452,25,10,24.5,4,13,4,8,0,0,0,0,0,2,0,1,1,4,12
139,1,2007-10-24,513,25,10,29.9167,1,8,0,1,1,2,1,2,3,3,1,0,1,3,3
140,1,2007-10-24,1078,25,10,6.0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,5
141,1,2007-10-24,2232,25,10,30.1833,2,11,2,3,7,8,1,5,6,3,3,0,0,0,13
142,1,2007-10-24,4295,25,10,24.9833,4,7,1,2,0,0,2,5,7,2,2,0,1,2,9
143,1,2007-10-24,4023,25,10,25.3,2,6,0,1,6,6,2,3,5,1,3,1,0,2,10
144,1,2007-10-24,4604,25,10,28.9733,3,11,2,5,3,3,1,1,2,3,1,0,1,1,11
145,1,2007-10-24,2084,21,11,1.58333,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
146,1,2007-10-24,3083,21,11,19.9333,0,2,0,1,0,0,0,0,0,1,1,0,2,2,0
147,1,2007-10-24,4620,21,11,39.125,13,21,0,0,6,7,2,14,16,8,3,3,1,5,32
148,1,2007-10-24,863,32,11,32.35,6,12,3,7,4,5,0,5,5,6,2,0,1,3,19
149,1,2007-10-24,2061,21,11,23.8167,9,15,2,4,5,6,2,6,8,3,0,0,0,4,25
150,1,2007-10-24,1338,21,11,1.58333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,1,2007-10-24,2727,21,11,1.58333,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
152,1,2007-10-24,3248,21,11,29.8917,11,20,6,8,2,3,7,3,10,3,0,0,1,1,30
153,1,2007-10-24,735,21,11,33.74,8,12,1,3,4,4,2,1,3,2,1,0,2,5,21
154,1,2007-10-24,886,21,11,12.0267,1,3,1,1,0,0,0,2,2,1,0,0,0,2,3
155,1,2007-10-24,3524,21,11,38.2667,5,12,0,6,0,0,0,3,3,8,2,0,3,3,10
156,1,2007-10-24,1754,36,7,36.2,8,21,3,10,5,6,0,3,3,2,2,0,4,5,24
157,1,2007-10-24,2668,32,11,17.7333,4,10,1,3,1,2,1,3,4,2,0,2,3,3,10
158,1,2007-10-24,2341,32,11,1.58333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,1,2007-10-24,4396,32,11,24.7167,3,7,2,5,0,0,1,0,1,0,1,0,0,4,8
160,1,2007-10-24,3606,32,11,10.4667,0,4,0,4,0,0,0,1,1,0,1,1,0,1,0
161,1,2007-10-24,3486,32,11,1.58333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1,2007-10-24,2781,21,11,36.8667,5,13,0,2,0,2,1,9,10,10,1,0,1,3,10
163,1,2007-10-24,1945,36,7,6.6,0,4,0,1,0,0,0,2,2,0,0,0,0,0,0
164,1,2007-10-24,3215,36,7,17.9833,4,7,3,3,2,2,0,3,3,4,1,0,1,1,13
165,1,2007-10-24,1714,36,7,33.2117,2,5,2,4,7,9,0,5,5,0,0,0,0,2,13
166,1,2007-10-24,2368,42,3,34.4133,6,16,0,3,8,8,3,0,3,2,0,0,0,3,20
167,1,2007-10-24,500,42,3,31.6333,3,12,1,4,0,0,2,3,5,3,1,0,1,2,7
168,1,2007-10-24,1333,42,3,11.7533,2,6,1,3,0,0,0,1,1,1,0,0,1,1,5
169,1,2007-10-24,4128,42,3,13.36,1,3,0,0,0,2,1,2,3,2,0,3,1,5,2
170,1,2007-10-24,3320,42,3,15.05,2,3,1,1,0,0,2,4,6,1,1,1,0,1,5
171,1,2007-10-24,4614,42,3,30.3167,1,7,0,1,9,12,3,13,16,0,1,1,2,2,11
172,1,2007-10-24,1095,42,3,16.3867,3,9,1,2,0,0,1,1,2,4,1,0,0,0,7
173,1,2007-10-24,976,42,3,34.7633,6,12,3,5,4,4,0,5,5,2,0,2,2,2,19
174,1,2007-10-24,658,42,3,33.515,6,13,1,4,8,10,2,6,8,5,1,2,2,4,21
175,1,2007-10-24,4591,42,3,18.7933,3,6,0,1,4,6,0,7,7,0,1,0,1,2,10
176,1,2007-10-24,2937,15,4,1.71167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,1,2007-10-24,771,15,4,33.08,5,10,2,2,5,6,3,7,10,4,2,0,3,1,17
178,1,2007-10-24,485,42,3,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1,2007-10-24,2111,15,4,27.0833,1,5,0,0,1,2,5,8,13,1,0,0,4,2,3
180,1,2007-10-24,1161,15,4,26.305,5,13,0,2,2,2,1,1,2,1,1,0,0,3,12
181,1,2007-10-24,2219,15,4,34.08,5,18,1,4,10,14,2,5,7,2,0,0,3,5,21
182,1,2007-10-24,2733,15,4,14.4033,2,2,0,0,1,2,0,3,3,2,0,0,0,2,5
183,1,2007-10-24,1881,15,4,23.155,7,15,1,4,0,0,0,3,3,0,0,0,0,3,15
184,1,2007-10-24,1629,15,4,16.27,1,2,0,1,2,4,1,5,6,0,1,0,1,1,4
185,1,2007-10-24,481,15,4,31.4383,5,11,2,3,3,4,1,1,2,7,0,0,1,3,15
186,1,2007-10-24,1445,15,4,17.72,2,7,0,1,5,5,1,2,3,0,0,0,4,4,9
187,1,2007-10-24,4016,15,4,14.0167,1,2,1,2,0,0,0,0,0,0,0,0,0,1,3
188,1,2007-10-24,4655,33,4,17.5217,2,3,0,1,0,0,0,0,0,0,1,0,1,1,4
189,1,2007-10-24,3177,33,4,0.736667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
190,1,2007-10-24,1286,33,4,10.3833,1,3,1,3,0,2,0,1,1,0,0,0,0,3,3
191,1,2007-10-24,1767,33,4,0.428333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1,2007-10-24,2008,36,7,23.56,7,8,0,0,4,8,1,8,9,1,0,1,2,1,18
193,1,2007-10-24,4737,33,4,35.58,10,12,5,6,2,3,0,1,1,8,1,1,3,1,27
194,1,2007-10-24,819,29,3,17.85,6,8,0,0,6,6,2,6,8,0,0,0,2,3,18
195,1,2007-10-24,1787,29,3,19.5167,0,8,0,5,0,0,0,4,4,6,0,1,1,5,0
196,1,2007-10-24,3798,24,2,33.4417,4,11,0,4,4,6,2,3,5,1,0,1,0,4,12
197,1,2007-10-24,1947,24,2,25.5333,2,9,0,4,0,0,0,4,4,4,2,4,1,4,4
198,1,2007-10-24,4513,24,2,38.3,9,18,4,5,4,6,4,12,16,2,0,0,4,3,26
199,1,2007-10-24,2250,24,2,23.5333,5,15,0,5,3,6,0,2,2,5,1,0,1,4,13
200,1,2007-10-24,1764,24,2,22.2667,4,10,1,2,2,2,0,1,1,2,1,0,0,1,11
201,1,2007-10-24,682,24,2,28.095,4,12,0,0,4,5,2,6,8,4,1,0,4,2,12
202,1,2007-10-24,1661,24,2,18.1467,2,4,1,1,1,2,2,4,6,1,0,0,1,4,6
203,1,2007-10-24,4623,24,2,25.7067,3,7,0,2,1,2,0,2,2,1,2,0,1,2,7
204,1,2007-10-24,2659,24,2,24.9767,6,8,1,2,0,2,4,3,7,0,0,2,0,1,13
205,1,2007-10-24,3690,31,2,21.985,4,9,0,1,1,2,2,6,8,2,1,0,1,3,9
206,1,2007-10-24,4728,31,2,31.5,2,9,2,5,2,3,0,3,3,3,0,1,1,3,8
207,1,2007-10-24,2769,31,2,15.42,1,4,0,3,2,2,1,0,1,0,0,0,1,3,4
208,1,2007-10-24,4570,29,3,33.8733,5,14,4,7,2,2,2,6,8,1,0,0,1,6,16
209,1,2007-10-24,1639,31,2,26.0333,3,13,0,1,3,4,5,6,11,2,0,0,4,2,9
210,1,2007-10-24,2057,31,2,32.91,9,14,3,7,5,7,0,4,4,4,0,1,3,5,26
211,1,2007-10-24,2373,31,2,33.59,6,15,0,1,0,1,4,14,18,0,1,2,1,2,12
212,1,2007-10-24,580,31,2,37.5833,8,21,2,10,3,3,1,4,5,3,1,1,3,3,21
213,1,2007-10-24,2283,31,2,23.7617,3,7,1,3,0,0,0,0,0,0,1,0,0,1,7
214,1,2007-10-24,495,29,3,40.5167,6,13,2,6,5,6,1,9,10,1,0,3,2,4,19
215,1,2007-10-24,2336,29,3,28.1883,5,6,0,0,1,1,0,2,2,4,1,1,3,1,11
216,1,2007-10-24,455,29,3,27.9433,4,10,0,2,0,0,2,0,2,0,1,2,2,2,8
217,1,2007-10-24,3208,29,3,16.3033,2,8,0,0,2,2,1,4,5,1,0,2,0,3,6
218,1,2007-10-24,4694,29,3,24.4267,4,10,2,6,4,5,0,1,1,5,0,0,1,4,14
219,1,2007-10-24,398,29,3,18.1667,3,5,0,0,0,0,0,6,6,2,0,0,0,3,6
220,1,2007-10-24,2503,29,3,3.99833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,1,2007-10-24,2657,29,3,9.21667,0,5,0,2,0,2,1,0,1,1,1,0,0,1,0
222,1,2007-10-24,1748,31,2,17.2167,2,5,1,2,0,0,1,1,2,2,0,0,2,6,5
223,1,2007-10-24,3787,33,4,37.2467,9,22,1,3,5,6,1,11,12,2,0,0,2,3,24
224,1,2007-10-24,1509,15,4,0.736667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1,2007-10-24,3950,33,4,25.4033,6,14,1,5,1,3,0,2,2,5,0,0,1,4,14
226,1,2007-10-24,448,13,6,22.3833,2,6,1,2,3,3,2,7,9,3,0,0,3,6,8
227,1,2007-10-24,144,13,6,19.05,0,1,0,0,0,0,0,2,2,2,0,0,0,1,0
228,1,2007-10-24,3128,14,6,38.1833,10,21,1,3,7,11,0,4,4,4,0,0,3,3,28
229,1,2007-10-24,2198,14,6,21.7833,3,6,2,4,2,2,0,4,4,2,0,0,1,1,10
230,1,2007-10-24,1549,14,6,6.605,0,2,0,0,0,0,0,1,1,1,0,0,1,1,0
231,1,2007-10-24,3659,14,6,17.8333,3,4,3,4,0,0,0,1,1,2,0,0,0,0,9
232,1,2007-10-24,4247,14,6,30.0333,4,10,1,5,2,2,1,2,3,2,2,0,2,5,11
233,1,2007-10-24,4500,14,6,41.6583,7,23,0,1,7,10,8,11,19,2,1,3,2,2,21
234,1,2007-10-24,2153,14,6,22.67,1,4,1,1,2,2,3,4,7,6,0,0,1,2,5
235,1,2007-10-24,2754,14,6,23.4833,8,12,1,1,1,2,3,4,7,0,0,1,1,3,18
236,1,2007-10-24,4197,14,6,29.8833,2,7,2,6,0,0,0,2,2,1,0,0,1,2,6
237,1,2007-10-24,4202,14,6,7.86667,2,4,0,0,0,0,4,0,4,2,0,0,0,3,4
238,1,2007-10-24,4268,13,6,37.45,8,18,2,6,2,2,0,6,6,3,1,0,2,3,20
239,1,2007-10-24,1640,36,7,35.2167,9,12,4,6,0,0,0,1,1,6,4,0,5,3,22
240,1,2007-10-24,3827,30,7,17.5717,2,7,1,3,0,0,0,3,3,0,0,0,0,2,5
241,1,2007-10-24,885,30,7,27.155,8,12,2,2,0,0,1,7,8,2,1,0,0,2,18
242,1,2007-10-24,4384,36,7,26.1117,4,9,1,3,4,7,1,3,4,4,0,0,1,1,13
243,1,2007-10-24,3978,36,7,37.2667,7,9,0,0,5,5,3,12,15,0,0,3,2,3,19
244,1,2007-10-24,3488,36,7,1.98333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,1,2007-10-24,3103,30,7,31.8333,9,18,1,4,0,1,1,5,6,1,1,1,4,6,19
246,1,2007-10-24,3936,30,7,9.63333,1,2,0,0,0,0,0,1,1,1,0,0,1,4,2
247,1,2007-10-24,3907,30,7,38.4167,10,15,0,0,3,6,2,5,7,4,1,2,0,2,23
248,1,2007-10-24,1314,30,7,4.98333,1,2,1,1,0,0,0,0,0,0,0,0,0,0,3
249,1,2007-10-24,210,30,7,30.49,4,10,0,4,0,0,0,2,2,1,2,0,0,2,8
250,1,2007-10-24,2569,30,7,12.1167,3,6,0,0,0,0,1,4,5,0,0,0,0,2,6
251,1,2007-10-24,4287,30,7,37.5,8,16,0,2,5,7,0,4,4,7,3,0,3,5,21
252,1,2007-10-24,4332,33,4,32.7583,4,9,3,7,0,0,1,4,5,0,2,2,0,3,11
253,1,2007-10-24,3299,13,6,24.05,4,8,0,2,4,6,3,2,5,2,2,1,0,4,12
254,1,2007-10-24,2567,30,7,30.3,3,7,2,3,4,4,0,1,1,1,0,0,1,2,12
255,1,2007-10-24,1066,13,6,16.4667,2,7,0,0,0,0,1,0,1,1,0,0,1,2,4
256,1,2007-10-24,4226,13,6,31.6,9,23,1,4,4,5,3,4,7,3,4,1,1,2,23
257,1,2007-10-24,221,33,4,19.95,6,8,1,1,0,0,0,2,2,2,0,1,0,2,13
258,1,2007-10-24,2320,33,4,27.1717,2,10,1,3,4,6,4,3,7,1,2,3,2,6,9
259,1,2007-10-24,2100,33,4,20.4,3,8,0,2,0,0,2,10,12,3,0,0,0,2,6
260,1,2007-10-24,3241,33,4,12.42,2,3,1,2,0,0,0,0,0,0,0,0,0,4,5
261,1,2007-10-24,1188,34,5,17.6,4,4,0,0,0,1,0,7,7,3,1,0,2,2,8
262,1,2007-10-24,1127,34,5,30.1617,6,10,2,3,3,4,2,8,10,0,0,4,2,4,17
