,Season,Date,HID,AID,N,POFF,Open,OddsH,OddsA,H,A,HSC,ASC,HFGM,AFGM,HFGA,AFGA,HFG3M,AFG3M,HFG3A,AFG3A,HFTM,AFTM,HFTA,AFTA,HORB,AORB,HDRB,ADRB,HRB,ARB,HAST,AAST,HSTL,ASTL,HBLK,ABLK,HTOV,ATOV,HPF,APF
11,1,2007-10-24,32,21,0,0,2007-10-23,1.2769932083717566,3.613322462625061,0,1,112,131,39.0,52.0,92.0,98.0,16.0,10.0,48.0,25.0,18.0,17.0,24.0,22.0,8.0,14.0,29.0,40.0,37.0,54.0,21.0,36.0,8.0,8.0,7.0,3.0,12.0,12.0,22.0,25.0
12,1,2007-10-24,35,26,0,0,2007-10-23,1.4221848274779125,2.774921792362039,1,0,126,107,45.0,41.0,99.0,90.0,12.0,10.0,33.0,36.0,24.0,15.0,31.0,18.0,10.0,7.0,36.0,38.0,46.0,45.0,21.0,19.0,12.0,7.0,6.0,3.0,16.0,24.0,23.0,30.0
13,1,2007-10-25,3,17,0,0,2007-10-24,1.3139229034688285,3.3352674721509032,1,0,128,119,44.0,45.0,100.0,93.0,13.0,7.0,37.0,30.0,27.0,22.0,29.0,29.0,14.0,8.0,40.0,38.0,54.0,46.0,21.0,23.0,9.0,10.0,10.0,6.0,17.0,15.0,26.0,26.0
14,1,2007-10-25,39,6,0,0,2007-10-24,1.1043158286274217,6.790177741934845,1,0,127,108,44.0,44.0,93.0,101.0,12.0,11.0,36.0,33.0,27.0,9.0,30.0,12.0,11.0,5.0,44.0,34.0,55.0,39.0,30.0,28.0,10.0,4.0,8.0,6.0,13.0,12.0,17.0,23.0
15,1,2007-10-25,23,31,0,0,2007-10-24,1.4615345386423595,2.630861214925872,0,1,112,113,38.0,38.0,81.0,97.0,7.0,12.0,26.0,35.0,29.0,25.0,39.0,34.0,7.0,22.0,33.0,33.0,40.0,55.0,19.0,25.0,7.0,6.0,15.0,5.0,14.0,19.0,31.0,26.0
16,1,2007-10-26,33,19,0,0,2007-10-25,1.4534592723384285,2.6585635164237615,1,0,113,101,43.0,40.0,92.0,99.0,13.0,14.0,35.0,36.0,14.0,7.0,19.0,10.0,12.0,16.0,37.0,33.0,49.0,49.0,24.0,29.0,3.0,4.0,3.0,6.0,13.0,16.0,19.0,27.0
17,1,2007-10-26,2,37,0,0,2007-10-25,1.601646615843544,2.260595982434051,1,0,118,101,44.0,38.0,93.0,87.0,17.0,6.0,46.0,18.0,13.0,19.0,21.0,27.0,11.0,9.0,39.0,32.0,50.0,41.0,27.0,14.0,9.0,7.0,8.0,3.0,17.0,17.0,26.0,25.0
18,1,2007-10-26,25,26,0,0,2007-10-25,1.5314818695308494,2.4234690253772198,1,0,131,117,44.0,41.0,81.0,83.0,13.0,14.0,26.0,30.0,30.0,21.0,43.0,36.0,7.0,11.0,34.0,29.0,41.0,40.0,32.0,27.0,9.0,9.0,4.0,5.0,17.0,19.0,29.0,31.0
19,1,2007-10-26,24,41,0,0,2007-10-25,1.9378762979914679,1.807259828998607,0,1,88,120,36.0,43.0,94.0,92.0,6.0,17.0,31.0,38.0,10.0,17.0,14.0,20.0,12.0,12.0,32.0,43.0,44.0,55.0,18.0,32.0,8.0,6.0,7.0,4.0,18.0,16.0,16.0,17.0
20,1,2007-10-26,34,35,0,0,2007-10-25,1.4519252241973961,2.6639282020779524,1,0,107,105,37.0,39.0,75.0,97.0,12.0,9.0,30.0,28.0,21.0,18.0,24.0,20.0,12.0,12.0,43.0,24.0,55.0,36.0,22.0,14.0,2.0,10.0,6.0,1.0,22.0,3.0,23.0,19.0
21,1,2007-10-26,21,30,0,0,2007-10-25,1.1302889039517898,5.901166989730673,1,0,149,129,56.0,50.0,95.0,96.0,16.0,10.0,31.0,25.0,21.0,19.0,33.0,26.0,12.0,9.0,40.0,30.0,52.0,39.0,35.0,24.0,6.0,6.0,4.0,2.0,16.0,13.0,25.0,26.0
22,1,2007-10-26,13,15,0,0,2007-10-25,1.5384772166704204,2.4054694783564714,1,0,131,123,44.0,45.0,87.0,93.0,10.0,8.0,25.0,23.0,33.0,25.0,35.0,29.0,9.0,13.0,31.0,30.0,40.0,43.0,28.0,26.0,9.0,5.0,7.0,2.0,14.0,14.0,21.0,24.0
23,1,2007-10-26,29,16,0,0,2007-10-25,1.8009645245896968,1.9454283385384863,1,0,108,92,35.0,34.0,81.0,95.0,11.0,7.0,26.0,33.0,27.0,17.0,36.0,23.0,10.0,15.0,38.0,37.0,48.0,52.0,21.0,18.0,3.0,5.0,3.0,4.0,15.0,13.0,24.0,29.0
24,1,2007-10-26,36,0,0,0,2007-10-25,1.690768328279201,2.09855609313748,0,1,123,124,40.0,49.0,89.0,87.0,19.0,10.0,46.0,19.0,24.0,16.0,29.0,18.0,10.0,8.0,28.0,35.0,38.0,43.0,24.0,27.0,11.0,10.0,4.0,6.0,17.0,16.0,19.0,23.0
25,1,2007-10-27,42,43,0,0,2007-10-26,1.1058305460787112,6.729609672944821,1,0,119,91,43.0,29.0,85.0,77.0,9.0,11.0,28.0,39.0,24.0,22.0,29.0,35.0,9.0,10.0,45.0,30.0,54.0,40.0,28.0,20.0,12.0,6.0,6.0,4.0,18.0,19.0,31.0,26.0
26,1,2007-10-27,31,41,0,0,2007-10-26,1.5410437819349005,2.398973485426589,0,1,112,113,41.0,41.0,89.0,93.0,11.0,16.0,34.0,42.0,19.0,15.0,27.0,23.0,12.0,12.0,37.0,28.0,49.0,40.0,21.0,23.0,4.0,6.0,11.0,12.0,16.0,12.0,27.0,27.0
27,1,2007-10-27,17,32,0,0,2007-10-26,2.10207184148764,1.6885745066831939,0,1,115,124,48.0,44.0,100.0,96.0,8.0,16.0,32.0,42.0,11.0,20.0,18.0,30.0,9.0,13.0,35.0,41.0,44.0,54.0,28.0,22.0,8.0,7.0,10.0,4.0,11.0,18.0,21.0,21.0
28,1,2007-10-27,6,5,0,0,2007-10-26,2.066704222035994,1.711258780030232,0,1,116,118,44.0,41.0,87.0,101.0,7.0,18.0,21.0,40.0,21.0,18.0,26.0,23.0,5.0,18.0,36.0,31.0,41.0,49.0,26.0,21.0,4.0,4.0,3.0,4.0,11.0,10.0,20.0,23.0
29,1,2007-10-27,37,34,0,0,2007-10-26,1.2323136307295828,4.04990217648605,1,0,132,112,51.0,41.0,92.0,86.0,16.0,16.0,24.0,37.0,14.0,14.0,22.0,22.0,10.0,9.0,30.0,31.0,40.0,40.0,21.0,25.0,12.0,6.0,5.0,6.0,11.0,20.0,18.0,18.0
30,1,2007-10-27,35,19,0,0,2007-10-26,2.1718832957409777,1.6475714774933927,0,1,101,103,36.0,33.0,87.0,82.0,12.0,9.0,35.0,25.0,17.0,28.0,27.0,33.0,11.0,11.0,35.0,36.0,46.0,47.0,23.0,21.0,8.0,8.0,1.0,2.0,16.0,15.0,25.0,26.0
31,1,2007-10-27,39,24,0,0,2007-10-26,1.1004829340841913,6.94930128272115,1,0,116,115,45.0,41.0,94.0,90.0,17.0,16.0,33.0,29.0,9.0,17.0,10.0,22.0,13.0,14.0,33.0,35.0,46.0,49.0,33.0,31.0,8.0,7.0,3.0,7.0,10.0,16.0,21.0,15.0
32,1,2007-10-27,11,13,0,0,2007-10-26,2.240505985761879,1.6115046298924376,1,0,140,136,49.0,44.0,98.0,84.0,17.0,14.0,50.0,27.0,25.0,34.0,34.0,40.0,15.0,6.0,27.0,27.0,42.0,33.0,29.0,23.0,8.0,10.0,8.0,3.0,16.0,17.0,28.0,30.0
33,1,2007-10-27,3,14,0,0,2007-10-26,1.4232515942058956,2.770695763626245,1,0,121,108,45.0,42.0,84.0,100.0,15.0,13.0,32.0,30.0,16.0,11.0,19.0,14.0,8.0,15.0,38.0,25.0,46.0,40.0,24.0,29.0,5.0,5.0,3.0,4.0,12.0,6.0,14.0,17.0
34,1,2007-10-27,23,33,0,0,2007-10-26,1.852426852409119,1.8867993090109993,0,1,113,117,37.0,39.0,89.0,88.0,13.0,10.0,39.0,29.0,26.0,29.0,32.0,36.0,9.0,14.0,28.0,38.0,37.0,52.0,20.0,21.0,11.0,5.0,9.0,5.0,11.0,17.0,27.0,29.0
35,1,2007-10-28,29,32,0,0,2007-10-27,2.018401594907433,1.7446067547363122,1,0,115,112,42.0,43.0,89.0,89.0,5.0,15.0,25.0,35.0,26.0,11.0,26.0,15.0,12.0,6.0,37.0,29.0,49.0,35.0,22.0,28.0,8.0,6.0,7.0,6.0,13.0,12.0,16.0,23.0
36,1,2007-10-28,42,0,0,0,2007-10-27,1.9291768996845862,1.8146286817037183,1,0,100,98,35.0,36.0,86.0,79.0,6.0,7.0,32.0,29.0,24.0,19.0,42.0,24.0,13.0,6.0,34.0,34.0,47.0,40.0,21.0,22.0,11.0,4.0,4.0,6.0,10.0,19.0,22.0,29.0
37,1,2007-10-28,15,26,0,0,2007-10-27,1.1557865880329132,5.258066076549884,0,1,111,133,46.0,48.0,99.0,98.0,10.0,22.0,27.0,47.0,9.0,15.0,14.0,19.0,15.0,9.0,34.0,35.0,49.0,44.0,23.0,32.0,5.0,9.0,2.0,7.0,18.0,12.0,25.0,21.0
38,1,2007-10-28,16,30,0,0,2007-10-27,1.1519599972143018,5.343691078650565,0,1,120,131,46.0,50.0,104.0,91.0,9.0,10.0,39.0,22.0,19.0,21.0,30.0,28.0,18.0,12.0,33.0,34.0,51.0,46.0,23.0,28.0,11.0,11.0,9.0,7.0,18.0,20.0,29.0,26.0
39,1,2007-10-29,17,14,0,0,2007-10-28,1.682290338910168,2.1122601119403632,0,1,142,143,55.0,50.0,107.0,97.0,14.0,15.0,39.0,28.0,18.0,28.0,26.0,38.0,13.0,10.0,39.0,37.0,52.0,47.0,33.0,32.0,5.0,9.0,6.0,3.0,15.0,9.0,29.0,26.0
40,1,2007-10-29,3,23,0,0,2007-10-28,1.2854106257196427,3.544425246553859,0,1,124,125,43.0,46.0,108.0,110.0,11.0,15.0,39.0,37.0,27.0,18.0,31.0,26.0,17.0,12.0,53.0,42.0,70.0,54.0,22.0,23.0,6.0,6.0,4.0,7.0,20.0,10.0,22.0,27.0
41,1,2007-10-29,33,41,0,0,2007-10-28,1.3052903617525364,3.394968900728643,1,0,127,106,50.0,41.0,87.0,97.0,15.0,9.0,39.0,28.0,12.0,15.0,14.0,18.0,5.0,14.0,41.0,27.0,46.0,41.0,36.0,21.0,10.0,5.0,8.0,5.0,15.0,12.0,21.0,14.0
42,1,2007-10-29,19,24,0,0,2007-10-28,1.1227233160408538,6.130768478205564,0,1,90,93,37.0,38.0,91.0,93.0,9.0,10.0,40.0,35.0,7.0,7.0,9.0,10.0,9.0,8.0,42.0,41.0,51.0,49.0,21.0,28.0,6.0,6.0,3.0,2.0,12.0,9.0,15.0,15.0
43,1,2007-10-29,13,37,0,0,2007-10-28,1.5544639431989946,2.365914540278127,1,0,101,91,36.0,36.0,85.0,92.0,7.0,8.0,33.0,26.0,22.0,11.0,24.0,16.0,8.0,12.0,39.0,33.0,47.0,45.0,24.0,18.0,9.0,6.0,12.0,6.0,15.0,15.0,17.0,24.0
44,1,2007-10-29,36,25,0,0,2007-10-28,1.0886281774532591,7.5018241150529485,0,1,84,92,29.0,31.0,82.0,84.0,8.0,9.0,32.0,28.0,18.0,21.0,23.0,26.0,10.0,7.0,40.0,36.0,50.0,43.0,18.0,18.0,6.0,10.0,6.0,2.0,15.0,11.0,22.0,22.0
45,1,2007-10-29,11,6,0,0,2007-10-28,1.398457956151842,2.874195439371865,1,0,115,109,40.0,41.0,93.0,80.0,15.0,13.0,47.0,23.0,20.0,14.0,21.0,21.0,13.0,7.0,28.0,27.0,41.0,34.0,25.0,18.0,8.0,6.0,2.0,4.0,16.0,19.0,16.0,29.0
46,1,2007-10-29,2,35,0,0,2007-10-28,1.2230663824844499,4.1586826755614394,1,0,124,113,45.0,45.0,96.0,99.0,17.0,10.0,40.0,29.0,17.0,13.0,24.0,15.0,19.0,11.0,36.0,32.0,55.0,43.0,27.0,22.0,5.0,6.0,9.0,2.0,15.0,12.0,18.0,21.0
47,1,2007-10-29,0,43,0,0,2007-10-28,1.0384971093303335,11.71535755469406,1,0,123,103,45.0,39.0,88.0,86.0,14.0,9.0,37.0,34.0,19.0,16.0,26.0,18.0,7.0,12.0,33.0,33.0,40.0,45.0,35.0,24.0,12.0,8.0,4.0,1.0,14.0,21.0,24.0,21.0
48,1,2007-10-30,5,39,0,0,2007-10-29,1.8675632247556877,1.8708132669663904,1,0,133,132,51.0,49.0,108.0,98.0,12.0,14.0,33.0,43.0,19.0,20.0,27.0,28.0,12.0,8.0,34.0,40.0,46.0,48.0,22.0,32.0,4.0,3.0,4.0,8.0,8.0,11.0,24.0,24.0
49,1,2007-10-30,42,30,0,0,2007-10-29,1.1560225907687856,5.252894504087483,1,0,126,112,51.0,45.0,99.0,86.0,11.0,13.0,30.0,31.0,13.0,9.0,15.0,20.0,15.0,9.0,34.0,30.0,49.0,39.0,31.0,29.0,11.0,7.0,3.0,6.0,12.0,16.0,22.0,17.0
50,1,2007-10-30,21,29,0,0,2007-10-29,1.2884726610956647,3.5202331746033155,1,0,116,109,40.0,41.0,93.0,87.0,6.0,5.0,24.0,20.0,30.0,22.0,40.0,27.0,12.0,9.0,36.0,38.0,48.0,47.0,22.0,18.0,12.0,5.0,8.0,4.0,8.0,17.0,24.0,26.0
51,1,2007-10-31,2,39,0,0,2007-10-30,1.6724448651794495,2.1285812741721775,1,0,123,108,41.0,38.0,100.0,92.0,13.0,11.0,43.0,34.0,28.0,21.0,30.0,30.0,9.0,8.0,42.0,42.0,51.0,50.0,24.0,29.0,7.0,4.0,10.0,5.0,11.0,16.0,27.0,27.0
52,1,2007-10-31,32,36,0,0,2007-10-30,1.4072316368922495,2.836266927656086,0,1,89,100,35.0,34.0,87.0,78.0,11.0,10.0,40.0,29.0,8.0,22.0,14.0,28.0,10.0,9.0,25.0,38.0,35.0,47.0,16.0,21.0,12.0,7.0,5.0,5.0,17.0,19.0,23.0,21.0
53,1,2007-10-31,0,23,0,0,2007-10-30,1.1361732378077074,5.736233082360359,1,0,144,122,53.0,42.0,92.0,93.0,15.0,12.0,33.0,42.0,23.0,26.0,25.0,28.0,10.0,7.0,38.0,27.0,48.0,34.0,37.0,22.0,6.0,7.0,5.0,1.0,18.0,12.0,22.0,24.0
54,1,2007-10-31,14,37,0,0,2007-10-30,1.5003198895193024,2.509274764170315,0,1,96,116,35.0,46.0,87.0,87.0,6.0,17.0,19.0,32.0,20.0,7.0,21.0,8.0,15.0,5.0,31.0,35.0,46.0,40.0,16.0,34.0,3.0,9.0,3.0,5.0,13.0,10.0,16.0,22.0
55,1,2007-10-31,33,13,0,0,2007-10-30,1.3202140159390063,3.2935508195196674,1,0,112,105,46.0,40.0,89.0,96.0,11.0,15.0,32.0,30.0,9.0,10.0,12.0,16.0,11.0,16.0,33.0,28.0,44.0,44.0,26.0,25.0,9.0,10.0,8.0,5.0,17.0,16.0,18.0,17.0
56,1,2007-10-31,6,41,0,0,2007-10-30,2.269974490323874,1.5971454331619286,1,0,112,110,37.0,37.0,77.0,85.0,10.0,10.0,29.0,35.0,28.0,26.0,35.0,29.0,9.0,8.0,36.0,28.0,45.0,36.0,21.0,23.0,4.0,5.0,5.0,5.0,14.0,8.0,24.0,20.0
57,1,2007-10-31,30,25,0,0,2007-10-30,1.4409537586999892,2.703287193493126,1,0,97,92,35.0,36.0,83.0,94.0,6.0,10.0,18.0,37.0,21.0,10.0,33.0,13.0,15.0,13.0,42.0,36.0,57.0,49.0,19.0,18.0,7.0,7.0,5.0,6.0,17.0,15.0,15.0,25.0
58,1,2007-10-31,31,35,0,0,2007-10-30,1.2830838887798044,3.5631128010643374,1,0,110,87,39.0,33.0,82.0,91.0,13.0,12.0,29.0,33.0,19.0,9.0,28.0,14.0,4.0,10.0,47.0,35.0,51.0,45.0,24.0,20.0,7.0,5.0,5.0,3.0,13.0,12.0,15.0,23.0
59,1,2007-10-31,26,11,0,0,2007-10-30,1.4398000774814101,2.707529797561548,1,0,111,104,37.0,38.0,91.0,91.0,15.0,12.0,38.0,40.0,22.0,16.0,31.0,26.0,10.0,9.0,44.0,43.0,54.0,52.0,28.0,25.0,6.0,7.0,6.0,9.0,15.0,17.0,26.0,27.0
60,1,2007-10-31,43,17,0,0,2007-10-30,2.0437022604360973,1.7267806258755836,0,1,113,131,44.0,52.0,84.0,100.0,10.0,10.0,31.0,28.0,15.0,17.0,21.0,23.0,9.0,11.0,35.0,32.0,44.0,43.0,27.0,34.0,4.0,13.0,4.0,5.0,20.0,8.0,23.0,19.0
61,1,2007-10-31,15,34,0,0,2007-10-30,1.2911172567941414,3.4996971644869475,0,1,86,102,34.0,38.0,89.0,87.0,3.0,14.0,18.0,34.0,15.0,12.0,16.0,15.0,16.0,8.0,37.0,36.0,53.0,44.0,18.0,23.0,5.0,8.0,2.0,1.0,15.0,14.0,19.0,16.0
62,1,2007-11-01,24,3,0,0,2007-10-31,2.4910856498862675,1.5066402986624658,0,1,114,128,43.0,48.0,86.0,87.0,12.0,11.0,30.0,27.0,16.0,21.0,20.0,26.0,11.0,12.0,29.0,32.0,40.0,44.0,29.0,24.0,5.0,6.0,7.0,6.0,14.0,11.0,21.0,22.0
63,1,2007-11-01,16,19,0,0,2007-10-31,1.5239775292032651,2.4432713819364267,0,1,95,101,37.0,33.0,94.0,86.0,7.0,11.0,28.0,32.0,14.0,24.0,25.0,33.0,16.0,10.0,41.0,35.0,57.0,45.0,19.0,19.0,5.0,7.0,6.0,1.0,16.0,12.0,27.0,27.0
64,1,2007-11-01,5,15,0,0,2007-10-31,1.4268008098078566,2.756773563315249,1,0,110,103,41.0,41.0,78.0,89.0,11.0,8.0,28.0,24.0,17.0,13.0,29.0,15.0,13.0,7.0,35.0,23.0,48.0,30.0,21.0,18.0,4.0,11.0,5.0,1.0,20.0,9.0,21.0,25.0
65,1,2007-11-01,17,42,0,0,2007-10-31,1.8893182083359048,1.850087495929317,1,0,121,114,46.0,46.0,92.0,92.0,10.0,6.0,29.0,23.0,19.0,16.0,23.0,20.0,9.0,10.0,33.0,34.0,42.0,44.0,27.0,22.0,13.0,8.0,3.0,5.0,14.0,19.0,19.0,22.0
66,1,2007-11-02,41,6,0,0,2007-11-01,1.1833133386041836,4.7284467809020345,1,0,135,106,53.0,37.0,93.0,85.0,14.0,16.0,32.0,36.0,15.0,16.0,16.0,22.0,11.0,8.0,39.0,26.0,50.0,34.0,30.0,21.0,10.0,5.0,10.0,7.0,12.0,14.0,18.0,16.0
67,1,2007-11-02,32,29,0,0,2007-11-01,1.255731771074646,3.804710516212935,0,1,113,133,38.0,43.0,98.0,79.0,15.0,12.0,41.0,23.0,22.0,35.0,25.0,38.0,16.0,5.0,26.0,39.0,42.0,44.0,21.0,17.0,11.0,8.0,7.0,4.0,13.0,16.0,27.0,21.0
68,1,2007-11-02,35,0,0,0,2007-11-01,3.6922110547711626,1.2678717157758848,0,1,100,128,39.0,51.0,90.0,87.0,13.0,16.0,39.0,33.0,9.0,10.0,12.0,12.0,11.0,6.0,29.0,33.0,40.0,39.0,17.0,26.0,6.0,10.0,1.0,6.0,20.0,14.0,18.0,16.0
69,1,2007-11-02,33,11,0,0,2007-11-01,1.110667643669579,6.544375832053845,1,0,116,107,44.0,38.0,91.0,92.0,11.0,12.0,27.0,30.0,17.0,19.0,20.0,24.0,12.0,10.0,38.0,34.0,50.0,44.0,23.0,22.0,10.0,6.0,5.0,6.0,13.0,15.0,22.0,17.0
70,1,2007-11-02,30,23,0,0,2007-11-01,1.766373607496091,1.9890157203643932,1,0,116,112,44.0,40.0,95.0,86.0,14.0,14.0,37.0,42.0,14.0,18.0,23.0,23.0,14.0,5.0,39.0,37.0,53.0,42.0,25.0,22.0,8.0,8.0,4.0,7.0,19.0,21.0,18.0,27.0
71,1,2007-11-02,21,34,0,0,2007-11-01,1.1858667660059314,4.68584503447628,1,0,117,115,44.0,43.0,98.0,98.0,9.0,19.0,23.0,40.0,20.0,10.0,26.0,15.0,15.0,16.0,31.0,38.0,46.0,54.0,23.0,26.0,11.0,6.0,11.0,8.0,11.0,21.0,20.0,22.0
72,1,2007-11-02,13,2,0,0,2007-11-01,1.5263957817423495,2.436833203461739,0,1,95,125,36.0,49.0,112.0,92.0,10.0,19.0,43.0,46.0,13.0,8.0,18.0,11.0,17.0,7.0,32.0,55.0,49.0,62.0,19.0,32.0,10.0,4.0,6.0,8.0,8.0,18.0,15.0,23.0
73,1,2007-11-03,25,43,0,0,2007-11-02,1.332521424097089,3.215989902076761,1,0,117,96,44.0,36.0,79.0,78.0,9.0,9.0,26.0,33.0,20.0,15.0,22.0,19.0,3.0,5.0,36.0,30.0,39.0,35.0,30.0,28.0,12.0,5.0,1.0,1.0,12.0,19.0,21.0,25.0
74,1,2007-11-03,15,37,0,0,2007-11-02,1.8283078048002266,1.9134169998829431,0,1,107,119,40.0,48.0,86.0,74.0,7.0,5.0,25.0,13.0,20.0,18.0,22.0,26.0,16.0,4.0,23.0,20.0,39.0,24.0,21.0,28.0,9.0,13.0,2.0,3.0,18.0,15.0,20.0,15.0
75,1,2007-11-03,2,24,0,0,2007-11-02,1.1183506421799942,6.273491183081466,1,0,113,91,41.0,33.0,82.0,101.0,10.0,10.0,30.0,43.0,21.0,15.0,23.0,17.0,6.0,11.0,51.0,30.0,57.0,41.0,24.0,21.0,6.0,9.0,7.0,6.0,21.0,11.0,19.0,22.0
76,1,2007-11-03,21,36,0,0,2007-11-02,1.5279757563939271,2.43265621136634,0,1,111,132,40.0,46.0,95.0,88.0,9.0,10.0,34.0,32.0,22.0,30.0,29.0,37.0,11.0,6.0,29.0,37.0,40.0,43.0,22.0,32.0,4.0,7.0,5.0,7.0,16.0,13.0,32.0,26.0
77,1,2007-11-03,14,17,0,0,2007-11-02,1.417438866497687,2.7939603844827263,1,0,110,106,44.0,41.0,91.0,86.0,3.0,13.0,16.0,33.0,19.0,11.0,24.0,18.0,12.0,7.0,37.0,35.0,49.0,42.0,20.0,19.0,7.0,5.0,5.0,5.0,13.0,17.0,17.0,25.0
78,1,2007-11-03,26,6,0,0,2007-11-02,1.3312240143833722,3.2239251376137403,0,1,85,97,27.0,36.0,84.0,83.0,12.0,12.0,40.0,33.0,19.0,13.0,23.0,16.0,11.0,8.0,37.0,44.0,48.0,52.0,20.0,25.0,9.0,14.0,8.0,6.0,22.0,23.0,13.0,21.0
79,1,2007-11-03,31,3,0,0,2007-11-02,1.7409196940484932,2.023540477953308,1,0,120,111,44.0,37.0,96.0,88.0,15.0,12.0,39.0,33.0,17.0,25.0,26.0,28.0,16.0,8.0,40.0,34.0,56.0,42.0,21.0,14.0,7.0,7.0,8.0,8.0,13.0,9.0,21.0,25.0
80,1,2007-11-03,5,19,0,0,2007-11-02,1.6872806583851996,2.1041552025494634,0,1,89,109,33.0,39.0,89.0,86.0,7.0,14.0,37.0,34.0,16.0,17.0,20.0,25.0,6.0,8.0,41.0,46.0,47.0,54.0,16.0,25.0,4.0,4.0,3.0,8.0,11.0,13.0,24.0,26.0
81,1,2007-11-03,39,41,0,0,2007-11-02,1.3188015845808305,3.3027901452269424,1,0,105,103,35.0,37.0,91.0,95.0,10.0,9.0,28.0,35.0,25.0,20.0,30.0,24.0,14.0,9.0,42.0,39.0,56.0,48.0,18.0,19.0,4.0,3.0,8.0,8.0,11.0,9.0,23.0,25.0
82,1,2007-11-04,34,0,0,0,2007-11-03,3.1391676294632713,1.345563960079895,0,1,114,120,42.0,44.0,87.0,89.0,20.0,11.0,42.0,33.0,10.0,21.0,15.0,24.0,5.0,12.0,32.0,35.0,37.0,47.0,28.0,28.0,5.0,11.0,3.0,7.0,15.0,12.0,20.0,16.0
